procs,threads,repeat,seconds,comm
1,1,1,1.30104,0
1,2,1,1.32671,0.00706538
2,1,1,0.903341,11.6398
1,4,1,0.78884,0.00660416
2,2,1,0.927069,37.6245
4,1,1,0.493304,19.6579
1,8,1,0.801761,0.0157454
2,4,1,0.881862,41.1105
4,2,1,0.402716,21.0065
8,1,1,0.492035,32.9113
1,16,1,0.717587,0.0219534
2,8,1,1.71079,46.6263
4,4,1,1.55761,59.7565
8,2,1,1.60101,64.6582
16,1,1,0.788743,68.699
1,1,2,1.33586,0
1,2,2,1.13286,0.0074895
2,1,2,0.913518,11.4577
1,4,2,0.858226,0.01116
2,2,2,0.560376,19.101
4,1,2,0.554116,18.4371
1,8,2,0.78429,0.015091
2,4,2,0.691321,17.4083
4,2,2,0.383384,19.4137
8,1,2,0.435647,27.4292
1,16,2,0.716732,0.0229763
2,8,2,1.80375,43.673
4,4,2,1.9455,53.9902
8,2,2,1.47923,62.2048
16,1,2,1.00252,63.7096
1,1,3,1.29883,0
1,2,3,0.870993,0.00902784
2,1,3,0.844697,6.81894
1,4,3,0.822075,0.00695856
2,2,3,0.550906,19.5802
4,1,3,0.492934,19.0805
1,8,3,0.819107,0.0158558
2,4,3,0.48505,20.3433
4,2,3,0.417185,19.6359
8,1,3,0.47248,29.1405
1,16,3,0.701886,0.0230718
2,8,3,1.77341,43.9083
4,4,3,1.47358,60.1461
8,2,3,1.55148,61.8141
16,1,3,0.853625,71.324
1,1,4,1.31833,0
1,2,4,1.21522,0.00838072
2,1,4,0.926075,8.23853
1,4,4,0.701578,0.0113941
2,2,4,0.83996,34.3688
4,1,4,0.452813,13.0165
1,8,4,0.799674,0.0158969
2,4,4,0.795558,19.5541
4,2,4,0.418863,19.2225
8,1,4,0.500206,32.942
1,16,4,0.690846,0.0216234
2,8,4,1.74615,42.8939
4,4,4,1.51431,60.6624
8,2,4,1.50524,61.0574
16,1,4,0.848238,74.5697
1,1,5,1.29656,0
1,2,5,0.909782,0.00825001
2,1,5,0.885673,9.00921
1,4,5,0.803994,0.00821036
2,2,5,0.976174,38.2878
4,1,5,0.47344,16.5665
1,8,5,0.74131,0.0114005
2,4,5,0.783411,16.1143
4,2,5,0.389658,20.8105
8,1,5,0.412778,21.564
1,16,5,0.685081,0.0208671
2,8,5,1.77902,43.8862
4,4,5,1.43367,60.7359
8,2,5,1.51367,64.5739
16,1,5,1.04767,73.2213
1,1,6,1.30061,0
1,2,6,1.18722,0.00736719
2,1,6,0.8952,7.54043
1,4,6,0.892591,0.00948626
2,2,6,0.838616,33.3335
4,1,6,0.495597,20.0237
1,8,6,0.75746,0.0129331
2,4,6,0.78317,32.8557
4,2,6,0.43647,24.8048
8,1,6,0.616649,22.6757
1,16,6,0.666971,0.0236533
2,8,6,1.83286,45.6111
4,4,6,1.92103,57.4985
8,2,6,1.52419,62.4757
16,1,6,0.781332,68.2503
1,1,7,1.29498,0
1,2,7,1.07899,0.00706167
2,1,7,0.868196,9.72806
1,4,7,0.880197,0.0136352
2,2,7,0.869278,30.4981
4,1,7,0.450722,14.4016
1,8,7,0.718269,0.0127347
2,4,7,0.882774,15.0566
4,2,7,0.607275,35.8278
8,1,7,0.531879,35.1205
1,16,7,0.736968,0.0184932
2,8,7,1.64194,53.814
4,4,7,1.47707,57.4984
8,2,7,1.60926,58.7258
16,1,7,0.952203,65.8929
