
=== timing comparison (best of the runs in results/timings.csv) ===

network: scalefree, people: 500000
  mode             procs  threads     seconds  speedup  efficiency     comm%  imbalance
  sequential           1        1     0.99594    1.00x        100%        0%       1.00
  mpi+openmp           1        2     0.65039    1.53x         77%        0%       1.00
  mpi+openmp           2        1     0.69352    1.44x         72%       27%       1.08
  mpi+openmp           1        4     0.50311    1.98x         49%        0%       1.00
  mpi+openmp           4        1     0.42276    2.36x         59%       45%       1.15
  mpi+openmp           1        8     0.45069    2.21x         28%        0%       1.00
  mpi+openmp           8        1     0.39247    2.54x         32%       56%       1.23
  mpi+openmp           1       16     0.46957    2.12x         13%        0%       1.00
  mpi+openmp          16        1     0.61162    1.63x         10%       81%       1.19

