
=== timing comparison (best of the runs in results/timings.csv) ===

network: smallworld, people: 1000000
  mode             procs  threads     seconds  speedup  efficiency     comm%  imbalance
  sequential           1        1     1.37298    1.00x        100%        0%       1.00
  mpi+openmp           1        2     1.37923    1.00x         50%        0%       1.00
  mpi+openmp           2        1     0.98396    1.40x         70%       14%       1.05
  mpi+openmp           1        4     0.97751    1.40x         35%        0%       1.00
  mpi+openmp           4        1     0.49911    2.75x         69%       19%       1.04
  mpi+openmp           1        8     0.79667    1.72x         22%        0%       1.00
  mpi+openmp           8        1     0.48522    2.83x         35%       28%       1.06
  mpi+openmp           1       16     0.88920    1.54x         10%        0%       1.00
  mpi+openmp          16        1     0.65980    2.08x         13%       70%       1.11

