procs,threads,repeat,seconds,comm
1,1,1,1.47942,0
1,2,1,1.51419,0.00827767
2,1,1,1.3839,19.4631
1,4,1,0.962688,0.025228
2,2,1,1.05141,18.0867
4,1,1,0.480959,16.4122
1,8,1,0.786979,0.0211953
2,4,1,0.900084,20.3202
4,2,1,0.408206,19.0528
8,1,1,0.477609,26.8134
1,16,1,0.761455,0.0248764
2,8,1,1.85713,42.5875
4,4,1,1.99926,49.0351
8,2,1,1.8449,58.9419
16,1,1,0.63106,67.4076
1,1,2,1.35559,0
1,2,2,1.24001,0.0125976
2,1,2,1.01125,19.6361
1,4,2,1.01469,0.0144306
2,2,2,1.02158,13.9737
4,1,2,0.576121,22.643
1,8,2,0.8173,0.0232892
2,4,2,0.908272,18.4833
4,2,2,0.414804,22.2415
8,1,2,0.467114,31.516
1,16,2,0.759086,0.0349604
2,8,2,1.97851,42.378
4,4,2,2.04689,50.1851
8,2,2,1.8879,58.6003
16,1,2,0.855294,67.8804
1,1,3,1.58206,0
1,2,3,1.13286,0.0133868
2,1,3,1.04943,18.3092
1,4,3,0.96388,0.0134258
2,2,3,0.972285,30.2459
4,1,3,0.5854,23.4486
1,8,3,0.794307,0.0315651
2,4,3,0.870515,16.7712
4,2,3,0.489519,23.5214
8,1,3,0.544245,26.0337
1,16,3,0.788754,0.0380385
2,8,3,1.81942,44.474
4,4,3,2.07023,52.8549
8,2,3,1.89916,59.8626
16,1,3,0.756591,66.8224
1,1,4,1.41729,0
1,2,4,1.3779,0.0127516
2,1,4,1.1595,9.93297
1,4,4,0.906096,0.0177852
2,2,4,1.14003,27.7122
4,1,4,0.711132,32.3644
1,8,4,0.750607,0.0335397
2,4,4,0.789759,27.7306
4,2,4,0.487695,27.1099
8,1,4,0.505139,33.5864
1,16,4,0.760527,0.0269783
2,8,4,1.89149,40.5074
4,4,4,1.99158,50.3762
8,2,4,1.82101,62.9839
16,1,4,0.972619,70.7209
1,1,5,1.54543,0
1,2,5,1.34776,0.0143655
2,1,5,1.02656,13.9815
1,4,5,0.947742,0.00852281
2,2,5,0.979155,28.8865
4,1,5,0.586076,27.2418
1,8,5,0.847194,0.0179604
2,4,5,0.879011,14.2885
4,2,5,0.431819,20.7785
8,1,5,0.456469,29.545
1,16,5,0.753671,0.0261201
2,8,5,1.75223,47.11
4,4,5,2.00092,49.0652
8,2,5,1.86001,60.718
16,1,5,0.906543,67.196
1,1,6,1.42547,0
1,2,6,1.48836,0.0108056
2,1,6,1.04455,20.2027
1,4,6,0.966989,0.0135033
2,2,6,0.975733,26.5425
4,1,6,0.539215,20.5954
1,8,6,0.85069,0.0210906
2,4,6,0.904432,15.5687
4,2,6,0.477739,27.7713
8,1,6,0.682253,41.2878
1,16,6,0.660633,0.0285305
2,8,6,1.89739,39.4804
4,4,6,1.96837,52.6494
8,2,6,2.00348,59.6945
16,1,6,0.799675,65.4129
1,1,7,1.35822,0
1,2,7,1.34299,0.0126578
2,1,7,0.883958,9.72734
1,4,7,0.850167,0.0342705
2,2,7,1.01317,18.4046
4,1,7,0.492501,18.3666
1,8,7,0.775034,0.0285746
2,4,7,0.695076,29.7345
4,2,7,0.467588,26.257
8,1,7,0.554035,35.9365
1,16,7,0.717041,0.0336679
2,8,7,1.84714,43.4364
4,4,7,2.02289,50.7105
8,2,7,1.70555,61.204
16,1,7,0.638244,67.4527
