procs,threads,repeat,seconds,comm
1,1,1,2.15193,0
1,2,1,1.56118,0.0113253
2,1,1,1.5456,27.8917
1,4,1,1.02502,0.0176547
2,2,1,1.1289,29.5071
4,1,1,1.09174,40.3865
1,8,1,0.913078,0.0215467
2,4,1,1.09421,28.7472
4,2,1,0.943044,45.806
8,1,1,1.07775,48.9748
1,16,1,0.842349,0.0255208
2,8,1,2.20614,46.1563
4,4,1,2.33528,57.8998
8,2,1,2.12653,56.705
16,1,1,1.68196,70.8655
1,1,2,2.09932,0
1,2,2,1.42817,0.0139662
2,1,2,1.61979,25.1797
1,4,2,1.02226,0.0108846
2,2,2,1.15038,33.9378
4,1,2,0.971823,40.8647
1,8,2,0.912874,0.0170796
2,4,2,1.02425,33.6471
4,2,2,0.853123,46.14
8,1,2,0.964611,45.9333
1,16,2,0.854116,0.0277025
2,8,2,2.1644,51.6109
4,4,2,2.19288,57.7031
8,2,2,2.09847,60.3196
16,1,2,1.59273,74.8732
1,1,3,2.18365,0
1,2,3,1.5083,0.0181151
2,1,3,1.59521,25.1491
1,4,3,0.993919,0.0164504
2,2,3,1.09875,26.6737
4,1,3,1.02739,36.8692
1,8,3,0.909131,0.022442
2,4,3,0.975664,30.3586
4,2,3,0.927501,44.0899
8,1,3,1.07277,47.2542
1,16,3,0.829127,0.0276874
2,8,3,2.17984,47.5725
4,4,3,2.23299,58.8628
8,2,3,2.18769,65.4531
16,1,3,1.5037,74.5386
1,1,4,2.13933,0
1,2,4,1.49371,0.0123172
2,1,4,1.52982,26.4424
1,4,4,1.05486,0.0169604
2,2,4,1.13825,27.4344
4,1,4,1.05692,40.2791
1,8,4,0.933479,0.0229068
2,4,4,1.05305,29.9589
4,2,4,0.849518,45.6788
8,1,4,0.98246,45.4244
1,16,4,0.852489,0.0310637
2,8,4,2.13244,49.2342
4,4,4,2.20745,59.3219
8,2,4,2.10187,61.6957
16,1,4,1.67707,78.982
1,1,5,2.0813,0
1,2,5,1.55956,0.00922719
2,1,5,1.47875,24.843
1,4,5,1.03822,0.0194649
2,2,5,1.06798,29.5601
4,1,5,0.928058,38.9429
1,8,5,0.930284,0.0124916
2,4,5,0.918921,36.2255
4,2,5,0.909518,45.7367
8,1,5,1.19254,39.3293
1,16,5,0.87867,0.0319518
2,8,5,2.14504,47.1786
4,4,5,2.18719,56.832
8,2,5,2.1668,62.5315
16,1,5,1.66536,73.4899
1,1,6,2.10241,0
1,2,6,1.5559,0.0123542
2,1,6,1.62231,30.1639
1,4,6,1.03264,0.0158594
2,2,6,1.16213,28.3887
4,1,6,1.03322,42.002
1,8,6,0.93224,0.0194896
2,4,6,0.977152,33.9591
4,2,6,0.886929,44.4475
8,1,6,1.04399,45.9617
1,16,6,0.86491,0.0227996
2,8,6,2.15261,48.5186
4,4,6,2.24567,56.3448
8,2,6,2.02693,67.8049
16,1,6,1.50593,76.7347
1,1,7,2.18074,0
1,2,7,1.51941,0.0104144
2,1,7,1.5559,23.6546
1,4,7,1.03747,0.021798
2,2,7,1.0683,29.0338
4,1,7,0.938945,38.7263
1,8,7,0.895284,0.0186639
2,4,7,1.00913,30.6192
4,2,7,0.885563,46.4161
8,1,7,1.1544,48.2173
1,16,7,0.858938,0.029087
2,8,7,2.10703,47.6226
4,4,7,2.23937,55.8659
8,2,7,2.08762,63.4882
16,1,7,1.67686,71.673
