degree,howManyPeople
3,199939
4,99874
5,57273
6,35643
7,23888
8,16678
9,12218
10,9036
11,6976
12,5357
13,4440
14,3669
15,2909
16,2408
17,2185
18,1689
19,1496
20,1323
21,1144
22,1001
23,835
24,775
25,682
26,589
27,559
28,462
29,405
30,431
31,377
32,369
33,319
34,286
35,258
36,212
37,203
38,203
39,184
40,174
41,157
42,154
43,144
44,132
45,120
46,129
47,128
48,128
49,79
50,100
51,97
52,68
53,70
54,60
55,75
56,60
57,59
58,65
59,72
60,59
61,60
62,45
63,57
64,55
65,36
66,42
67,41
68,41
69,22
70,29
71,28
72,31
73,29
74,24
75,29
76,28
77,24
78,25
79,27
80,18
81,19
82,19
83,23
84,17
85,21
86,16
87,17
88,19
89,14
90,14
91,11
92,26
93,20
94,18
95,16
96,7
97,6
98,13
99,12
100,16
101,15
102,7
103,14
104,8
105,11
106,9
107,14
108,9
109,8
110,11
111,5
112,6
113,7
114,9
115,8
116,6
117,3
118,8
119,6
120,9
121,5
122,10
123,7
124,5
125,7
126,3
127,3
128,7
129,5
130,5
131,5
132,6
133,7
134,5
135,5
136,4
137,4
138,4
139,2
140,6
141,4
142,2
143,2
144,6
145,4
146,2
147,6
148,2
149,3
150,5
151,2
152,3
153,2
154,2
155,1
156,3
157,1
158,3
159,5
160,1
161,3
162,1
163,2
164,2
165,1
166,4
167,4
168,1
170,3
171,4
172,2
173,1
174,1
175,1
176,2
177,6
178,1
179,1
180,1
181,3
182,2
183,1
186,1
187,1
188,1
190,2
191,2
192,5
193,1
195,1
197,3
198,1
199,2
200,1
202,3
203,1
204,2
206,3
207,2
209,2
210,1
211,2
213,2
214,1
215,1
216,1
217,3
218,4
219,1
221,2
222,1
225,1
226,2
229,1
230,1
231,2
232,1
233,1
234,1
235,1
236,3
237,2
238,2
239,1
240,2
241,1
245,1
246,1
248,1
250,1
251,2
252,1
258,1
259,1
260,1
261,2
263,2
265,1
266,1
271,1
274,2
275,1
279,2
280,1
284,1
285,1
288,1
290,1
292,1
294,1
296,2
299,1
300,2
302,1
310,1
311,1
312,1
314,1
317,1
322,3
328,2
329,1
335,1
336,1
337,1
344,2
348,1
350,2
355,1
358,1
368,1
371,1
382,1
387,1
389,1
390,1
396,1
403,1
409,1
427,1
428,1
441,1
451,1
452,1
457,1
459,1
478,1
479,1
480,1
494,1
502,1
503,1
525,2
529,1
554,1
555,1
558,1
568,2
591,1
676,1
803,1
805,1
896,1
909,1
943,1
1017,1
1104,1
1284,1
1317,1
1648,1
1982,1
2202,1
2379,1
