procs,threads,repeat,seconds,comm
1,1,1,4.24972,0
1,2,1,2.38445,0.0256256
2,1,1,2.86754,10.5947
1,4,1,1.66245,0.0381386
2,2,1,2.05305,13.8653
4,1,1,2.47297,22.2511
1,8,1,1.66688,0.0431452
2,4,1,2.4259,13.7764
4,2,1,2.70988,21.584
8,1,1,4.16768,70.4088
1,16,1,1.94735,0.0349692
2,8,1,2.03438,13.125
4,4,1,3.77167,26.1177
8,2,1,5.12348,46.3396
16,1,1,5.35532,87.9035
1,1,2,4.27285,0
1,2,2,3.68616,0.0219593
2,1,2,3.28466,8.63285
1,4,2,1.67132,0.043543
2,2,2,2.12045,11.9841
4,1,2,2.45784,21.5126
1,8,2,1.76983,0.0377926
2,4,2,2.57008,15.7119
4,2,2,3.81681,24.7862
8,1,2,3.40973,70.4697
1,16,2,1.7788,0.0423467
2,8,2,2.15964,12.6104
4,4,2,3.62281,22.7627
8,2,2,4.36904,43.431
16,1,2,5.43025,88.3528
1,1,3,3.90364,0
1,2,3,2.4295,0.0364578
2,1,3,2.90513,7.7227
1,4,3,1.66351,0.0468268
2,2,3,2.23088,13.0655
4,1,3,2.44312,21.0785
1,8,3,1.8652,0.0521637
2,4,3,2.6596,14.4785
4,2,3,3.63524,27.391
8,1,3,4.65441,72.117
1,16,3,2.18614,0.0349677
2,8,3,2.21046,12.3347
4,4,3,3.5914,25.7455
8,2,3,4.17153,43.8075
16,1,3,6.09207,88.2401
1,1,4,4.55148,0
1,2,4,2.88713,0.0257253
2,1,4,3.30681,8.69011
1,4,4,2.07299,0.0381433
2,2,4,2.55273,13.6509
4,1,4,2.89917,20.8734
1,8,4,2.09444,0.0395106
2,4,4,4.00141,18.9236
4,2,4,5.86521,32.9039
8,1,4,4.47302,70.069
1,16,4,1.96469,0.0398613
2,8,4,2.21654,13.1166
4,4,4,3.7528,23.4512
8,2,4,4.47101,47.2731
16,1,4,5.08734,88.3329
1,1,5,4.53914,0
1,2,5,2.77512,0.0281564
2,1,5,3.27701,8.76404
1,4,5,2.34549,0.0422387
2,2,5,3.11324,14.8106
4,1,5,3.13955,20.6689
1,8,5,2.70469,0.0308523
2,4,5,3.10884,15.7067
4,2,5,3.15433,22.9583
8,1,5,4.16402,70.7551
1,16,5,3.17174,0.0387656
2,8,5,2.28292,14.6822
4,4,5,4.12325,26.2834
8,2,5,3.48478,42.608
16,1,5,3.82575,87.1461
1,1,6,3.35105,0
1,2,6,2.13843,0.0402265
2,1,6,2.73582,7.88475
1,4,6,1.42079,0.0509617
2,2,6,2.08375,12.1416
4,1,6,2.30113,21.7508
1,8,6,1.62523,0.040871
2,4,6,2.56528,16.5241
4,2,6,2.39129,23.0055
8,1,6,3.06896,70.1904
1,16,6,1.987,0.0313313
2,8,6,2.03637,15.4893
4,4,6,3.8054,33.791
8,2,6,3.74699,47.525
16,1,6,4.05927,87.4853
1,1,7,3.3269,0
1,2,7,2.11878,0.0289709
2,1,7,2.81222,8.23227
1,4,7,1.40221,0.0481836
2,2,7,1.7384,12.6391
4,1,7,2.10653,22.7196
1,8,7,1.48859,0.0458705
2,4,7,2.841,14.6103
4,2,7,2.96476,22.1126
8,1,7,3.08143,70.6519
1,16,7,1.40758,0.042234
2,8,7,1.69002,13.8966
4,4,7,3.20585,23.8606
8,2,7,3.73204,45.9738
16,1,7,3.8321,87.6298
