procs,threads,repeat,seconds,comm
1,1,1,4.86222,0
1,2,1,3.47414,0.0187799
2,1,1,5.05848,21.4208
1,4,1,2.60622,0.0300805
2,2,1,3.80495,25.1991
4,1,1,6.56548,32.7587
1,8,1,2.35419,0.0329736
2,4,1,3.93995,20.6344
4,2,1,7.27209,31.0222
8,1,1,9.46999,68.6942
1,16,1,2.44521,0.0340651
2,8,1,3.64557,17.8553
4,4,1,6.96465,31.1604
8,2,1,7.67417,53.1692
16,1,1,13.3239,84.1222
1,1,2,5.26783,0
1,2,2,5.14094,0.03069
2,1,2,4.46045,21.8712
1,4,2,3.00636,0.0237278
2,2,2,3.58941,25.3407
4,1,2,5.84956,33.01
1,8,2,2.20955,0.0305466
2,4,2,3.63495,21.2434
4,2,2,8.26978,34.1084
8,1,2,6.88688,72.9002
1,16,2,2.40868,0.037316
2,8,2,3.07405,19.9501
4,4,2,6.05379,31.7451
8,2,2,9.52515,51.7489
16,1,2,11.3113,85.4131
1,1,3,4.22334,0
1,2,3,3.93145,0.0176071
2,1,3,4.51813,21.5477
1,4,3,2.27256,0.0359007
2,2,3,3.3883,25.1604
4,1,3,5.37364,32.9868
1,8,3,2.12481,0.0335069
2,4,3,3.29462,23.5385
4,2,3,5.28636,32.3795
8,1,3,7.27144,70.5775
1,16,3,2.17129,0.0395081
2,8,3,3.80678,19.738
4,4,3,6.65157,36.1358
8,2,3,10.2693,54.3937
16,1,3,13.2416,83.7837
1,1,4,7.5842,0
1,2,4,3.3991,0.0215088
2,1,4,4.47732,20.583
1,4,4,3.04815,0.0244975
2,2,4,3.55552,24.7877
4,1,4,5.84171,33.9777
1,8,4,3.03037,0.0266592
2,4,4,3.87674,21.8696
4,2,4,5.91615,33.1297
8,1,4,8.68175,70.3218
1,16,4,2.29996,0.031116
2,8,4,3.50303,19.8036
4,4,4,5.83604,29.89
8,2,4,7.09678,49.7063
16,1,4,13.7844,84.667
1,1,5,5.63826,0
1,2,5,3.94881,0.0184833
2,1,5,4.36189,21.3188
1,4,5,2.31688,0.026037
2,2,5,3.34654,24.457
4,1,5,4.83816,35.0917
1,8,5,2.12877,0.035579
2,4,5,3.59261,20.9887
4,2,5,5.76372,33.4093
8,1,5,7.75603,69.499
1,16,5,1.94814,0.0564595
2,8,5,3.03257,21.4388
4,4,5,5.92457,32.0366
8,2,5,7.691,52.489
16,1,5,10.8859,84.8054
1,1,6,5.55595,0
1,2,6,3.22549,0.0214941
2,1,6,4.58616,21.854
1,4,6,2.58104,0.0313829
2,2,6,3.5737,26.0535
4,1,6,5.28782,33.5338
1,8,6,2.38339,0.0330408
2,4,6,3.95894,19.9614
4,2,6,5.73113,32.3826
8,1,6,8.46796,71.2719
1,16,6,2.36502,0.0329261
2,8,6,3.81145,18.889
4,4,6,6.80618,29.3205
8,2,6,7.73663,49.3601
16,1,6,10.5948,86.1942
1,1,7,4.83113,0
1,2,7,3.52037,0.0200079
2,1,7,4.59577,20.8431
1,4,7,2.69334,0.0278588
2,2,7,3.74292,24.0035
4,1,7,5.75075,33.3771
1,8,7,2.29935,0.0366116
2,4,7,3.89518,22.0064
4,2,7,5.60897,31.7893
8,1,7,7.24675,71.5753
1,16,7,2.27352,0.0345286
2,8,7,3.40043,18.7174
4,4,7,5.8753,29.79
8,2,7,7.57322,50.6424
16,1,7,11.983,84.7428
